address,artist,build_year,details,latitude,longitude,name,poi_type,poi_type_simple,source
227 Walmer Rd Toronto ON M5R 3P7,"HURLBUT, SPRING",1990,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: WALMER RD PARKETTE
 NEAR STREET: WALMER RD
 NEAR CROSS-STREET: DAVENPORT RD",43.676307461,-79.408671893,TREE COLUMN,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
169 Adelaide St E Toronto ON  ,"BOYER, GILBERT",2001,"Public Art.  
 Media: MASONRY, STEEL
 LOCATION: OUTDOORS
 PARK NAME: ST. JAMES PARK
 NEAR STREET: ADELAIDE ST E
 NEAR CROSS-STREET: JARVIS ST",43.651247007,-79.373312842,I LOOKED FOR SARAH EVERYWHERE,"Public Art, MASONRY, STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
40 Bedford Rd Toronto ON  ,"SANDLER, ILAN",2011,"Public Art.  
 Media: STAINLESS STEEL ROD, WATER
 LOCATION: OUTDOORS
 PARK NAME: TADDLE CREEK PARK
 NEAR STREET: LOWTHER AVE
 NEAR CROSS-STREET: BEDFORD RD",43.669851293,-79.398439891,VESSEL (THE),"Public Art, STAINLESS STEEL ROD, WATER",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
425 Don Mills Rd Toronto ON  ,"HARDING, NOEL",1995,"Public Art.  
 Media: MIXED MATERIALS
 LOCATION: OUTDOORS
 PARK NAME: TAYLOR CREEK PARK
 NEAR STREET: DON MILLS RD
 NEAR CROSS-STREET: DON VALLEY PARKWAY",43.702718186,-79.334457343,ELEVATED WETLANDS,"Public Art, MIXED MATERIALS",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
10 Court St Toronto ON  ,"SCHELLE, SUSAN",1994,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: COURTHOUSE SQUARE
 NEAR STREET: COURT ST
 NEAR CROSS-STREET: TORONTO ST",43.650486654,-79.375471877,COURT HOUSE SQUARE,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
360 University Ave Toronto ON M5G 1S4,"ALLWARD, WALTER SEYMOUR",1910,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: UNIVERSITY AVE
 NEAR CROSS-STREET: QUEEN ST W",43.6528605187,-79.3879079887,SOUTH AFRICAN WAR MEMORIAL,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
250 University Ave Toronto ON M5H 3E5,"HAHN, EMANUEL",1933,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: UNIVERSITY AVE
 NEAR CROSS-STREET: QUEEN ST W",43.650422051,-79.3870218498,SIR ADAM BECK,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
9 King's College Crcl Toronto ON M5S 3K3,"REID, ROBERT",1870,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: QUEENS PARK CRES W
 NEAR CROSS-STREET: WELLESLEY QUEENS PR S RAMP",43.6622183234,-79.3941165744,CANADIAN VOLUNTEERS WAR MEMORIAL,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
5089 Yonge St Toronto ON  ,"SPRACHMAN, ROBERT",1998,"Public Art.  
 Media: PAINTED STEEL
 LOCATION: OUTDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: HILLCREST AVE",43.7680961086,-79.4123101283,DANCE (THE),"Public Art, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
375 Colborne Lodge Dr Toronto ON M6S 0A4,"KOOCHIN, WILLIAM",1967,"Public Art.  
 Media: GRANITE
 LOCATION: OUTDOORS
 PARK NAME: HIGH PARK
 NEAR STREET: COLBORNE LODGE DR
 NEAR CROSS-STREET: SPRING RD",43.651248508,-79.463498027,HIPPY (THE),"Public Art, GRANITE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1141 Eastern Ave Toronto ON  ,"MCGUGAN, LAURIE",2000,"Public Art.  
 Media: BRONZE, TREES
 LOCATION: OUTDOORS
 PARK NAME: WOODBINE PARK
 NEAR STREET: COXWELL AVE
 NEAR CROSS-STREET: EASTERN AVE",43.665625505,-79.314415691,CIRCLE OF TREES,"Public Art, BRONZE, TREES",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
146 Spadina Ave Toronto ON  ,"CRUISE, STEPHEN",1997,"Public Art.  
 Media: BRONZE, COLOURED CONCRETE
 LOCATION: OUTDOORS
 NEAR STREET: RICHMOND ST W
 NEAR CROSS-STREET: SPADINA AVE",43.6481022975,-79.3964157488,UNIFORM MEASURE STACK,"Public Art, BRONZE, COLOURED CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
399 The West Mall Toronto ON M9C 2Y2,UNKNOWN,1968,"Public Art.  
 Media: LIMESTONE, CLOCK FACE, METAL
 LOCATION: OUTDOORS
 PARK NAME: ETOBICOKE CIVIC CENTRE
 NEAR STREET: THE WEST MALL
 NEAR CROSS-STREET: BURNAMTHORPE RD",43.6437806,-79.5654560752,ETOBICOKE CENOTAPH,"Public Art, LIMESTONE, CLOCK FACE, METAL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1873 Bloor St W Toronto ON  ,"WINDEYER, RICHARD",1976,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: HIGH PARK
 NEAR STREET: BLOOR ST
 NEAR CROSS-STREET: COLBORNE LODGE DR",43.653569557,-79.464086679,CUSTOM HOUSE FRAGMENTS,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
16 York Mills Rd Toronto ON M2P 2E5,"SWIM, LAURIE",2010,"Public Art.  
 Media: TEXTILE
 LOCATION: OUTDOORS
 NEAR STREET: YORK MILLS RD
 NEAR CROSS-STREET: YONGE ST",43.7445146327,-79.4047794654,BREAKING GROUND (HOGG'S HOLLOW DISASTER QUILT),"Public Art, TEXTILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1020 Bay St Toronto ON  ,"ELOUL, KOSSO",1980,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: BAY ST
 NEAR CROSS-STREET: ST JOSEPH ST",43.665861892,-79.388206256,ZEN WEST,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
494 Front St E Toronto ON M5A 0J1,HADLEY + MAXWELL,2016,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 NEAR STREET: FRONT ST E
 NEAR CROSS-STREET: BAYVIEW AVE",43.653745794,-79.354377196,GARDEN OF FUTURE FOLLIES,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
90 Eastern Ave Toronto ON M5A 1H6,"EUNSON, SCOTT/ LOVINK, MARIANNE",2015,"Public Art.  
 Media: STEEL, CONCRETE
 LOCATION: OUTDOORS
 NEAR STREET: SUMACH ST
 NEAR CROSS-STREET: EASTERN AVE",43.6542595212,-79.358324075,SITE SPECIFIC,"Public Art, STEEL, CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
5 St Joseph St Toronto ON M4Y 0B6,"GARNET, ELDON",2016,"Public Art.  
 Media: ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: ST JOSEPH ST",43.665777416,-79.385577674,ARTIFACTS OF MEMORY,"Public Art, ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
650 Spadina Ave Toronto ON M5S 2H7,"CRUISE, STEPHEN",1997,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 NEAR STREET: SPADINA AVE
 NEAR CROSS-STREET: HARBORD ST",43.6631821421,-79.4025672501,PLACES IN A BOOK,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
70 Forest Manor Rd Toronto ON M2J 0A9,"COUPLAND, DOUGLAS",2015,"Public Art.  
 Media: PAINTED STEEL
 LOCATION: OUTDOORS
 NEAR STREET: SHEPPARD AVE E
 NEAR CROSS-STREET: DON MILLS RD",43.775063248,-79.345784896,FOUR SEASONS,"Public Art, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1662 St Clair Ave W Toronto ON M6N 1H8,"KRUGER, NESTOR",2011,"Public Art.  
 Media: ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: LAUGHTON AVE",43.6748948594,-79.4579015337,COLOUR TRANSIT,"Public Art, ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
789 Yonge St Toronto ON M4W 2G8,"HOGBIN, STEPHEN",1978,"Public Art.  
 Media: RED OAK
 LOCATION: INDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: ASQUITH AVE",43.6718875247,-79.3866732078,ROOM DIVIDER,"Public Art, RED OAK",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
789 Yonge St Toronto ON M4W 2G8,"SUZUKI, AIKO",1977,"Public Art.  
 Media: NYLON
 LOCATION: INDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: ASQUITH AVE",43.6718875247,-79.3866732078,LYRA,"Public Art, NYLON",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Princes' Blvd Toronto ON M6K 3C3,"LEXIER, MICAH",1997,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: INDOORS
 NEAR STREET: PRINCES' BLVD
 NEAR CROSS-STREET: CANADA BLVD",43.634530286,-79.412551577,HALL OF NAMES,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Princes' Blvd Toronto ON M6K 3C3,"MANN, WAYNE, OF KURTZ MANN INC.",1997-1998,"Public Art.  
 Media: LATEX AND ACRYLIC ON CONCRETE
 LOCATION: INDOORS
 NEAR STREET: PRINCES' BLVD
 NEAR CROSS-STREET: CANADA BLVD",43.634530286,-79.412551577,UNIVERSAL LINK,"Public Art, LATEX AND ACRYLIC ON CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Princes' Blvd Toronto ON M6K 3C3,"HAINES, FREDERICK & PALMER, HERBERT S.",1929-1930,"Public Art.  
 Media: OIL PIGMENT ON LINEN
 LOCATION: INDOORS
 NEAR STREET: PRINCES' BLVD
 NEAR CROSS-STREET: CANADA BLVD",43.634530286,-79.412551577,SETTLEMENT OF CANADA (THE),"Public Art, OIL PIGMENT ON LINEN",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Front St E Toronto ON M5E 1B2,"WILSON, YORK",1960,"Public Art.  
 Media: PAINT ON DRYWALL
 LOCATION: INDOORS
 NEAR STREET: FRONT ST E
 NEAR CROSS-STREET: YONGE ST",43.6465882061,-79.3762015648,SEVEN LIVELY ARTS,"Public Art, PAINT ON DRYWALL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
55 John St Toronto ON M5V 3C6,"ADAMS, ELLEN",UNKNOWN,"Public Art.  
 Media: TEXTILE
 LOCATION: INDOORS
 NEAR STREET: JOHN ST
 NEAR CROSS-STREET: KING ST W",43.646162378,-79.3889347303,CARPET DESIGN,"Public Art, TEXTILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
55 John St Toronto ON M5V 3C6,"CLARK, DOUGLAS",1992,"Public Art.  
 Media: PHOTOGRAPHY
 LOCATION: INDOORS
 NEAR STREET: JOHN ST
 NEAR CROSS-STREET: KING ST W",43.646162378,-79.3889347303,WRITING IN STONE,"Public Art, PHOTOGRAPHY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
55 John St Toronto ON M5V 3C6,"DIEMERT, ROBERT",1992,"Public Art.  
 Media: WOOD, TEXTILE
 LOCATION: INDOORS
 NEAR STREET: JOHN ST
 NEAR CROSS-STREET: KING ST W",43.646162378,-79.3889347303,CHAIRS,"Public Art, WOOD, TEXTILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
55 John St Toronto ON M5V 3C6,"HLYNSKY, DAVID",1993,"Public Art.  
 Media: PHOTOGRAPHY
 LOCATION: INDOORS
 NEAR STREET: JOHN ST
 NEAR CROSS-STREET: KING ST W",43.646162378,-79.3889347303,UNKNOWN,"Public Art, PHOTOGRAPHY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Queen St W Toronto ON M5H 2N1,"KIRBY, ELIZABETH",1992,"Public Art.  
 Media: TEXTILE
 LOCATION: INDOORS
 NEAR STREET: QUEEN ST W
 NEAR CROSS-STREET: BAY ST",43.65282214,-79.383625059,WOVEN FABRIC,"Public Art, TEXTILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1652 Keele St Toronto ON M6M 3W3,"ALDWINKLE, ERIC",1959,"Public Art.  
 Media: PAINT ON CONCRETE
 LOCATION: INDOORS
 NEAR STREET: KEELE ST
 NEAR CROSS-STREET: ROGERS RD",43.6838721915,-79.4729296782,HARNESSING THE POWER,"Public Art, PAINT ON CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
150 Greenwood Ave Toronto ON  ,"ABERNETHY, RUTH",2016,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: GREENWOOD PARK
 NEAR STREET: GREENWOOD AVE
 NEAR CROSS-STREET: DUNDAS ST E",43.669479763,-79.329217915,JEFFREY BALDWIN,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
2 St Clair Ave W Toronto ON M4V 1L5,"BOWYER, PETER",2011,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: YONGE ST",43.6882802851,-79.3945211938,MEADOW,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
155 St Clair Ave W Toronto ON M4V 0A1,"CESTA, CARLO",2011,"Public Art.  
 Media: POWDER COATED ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: AVENUE RD",43.686262696,-79.401913261,SCENIC ROUTE,"Public Art, POWDER COATED ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1351 St Clair Ave W Toronto ON M6E 1C5,"ESPINAL, PANYA CLARK",2011,"Public Art.  
 Media: POWDER COATED ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: LANSDOWNE AVE",43.675999753,-79.4506971026,GENERATIONS,"Public Art, POWDER COATED ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
223 St Clair Ave W Toronto ON M4V 0A5,"ESPINAL, PANYA CLARK",2011,"Public Art.  
 Media: POWDER COATED ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: DUNVEGAN RD",43.685681766,-79.4047339471,MEETING,"Public Art, POWDER COATED ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1176 St Clair Ave W Toronto ON M6E 1B4,"SCHWARTZ, JUDITH",2011,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: DUFFERIN ST",43.6780979199,-79.4437273342,ORIGAMI REMIX,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
300 St Clair Ave W Toronto ON M4V 1S4,"SCHWARTZ, JUDITH",2011,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: ST CLAIR AVE W
 NEAR CROSS-STREET: SPADINA RD",43.685073908,-79.410731333,WEATHER SAMPLER,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
850 Coxwell Ave Toronto ON M4C 5R1,W.H. SMITH MONUMENTS,1948,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: COXWELL AVE
 NEAR CROSS-STREET: BARKER AVE",43.6909877211,-79.3279026308,EAST YORK CENOTAPH,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
170 Memorial Park Ave Toronto ON M4J 2K5,"GLADSTONE, GERALD",1960,"Public Art.  
 Media: CONCRETE, BRONZE
 LOCATION: OUTDOORS
 PARK NAME: TRUE DAVIDSON PARK
 NEAR STREET: MEMORIAL PARK AVE
 NEAR CROSS-STREET: ROOSEVELT RD",43.692138289,-79.329713381,PYLON,"Public Art, CONCRETE, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
905 Logan Ave Toronto ON M4K 3E3,"ZACHARIOU, DION",1990,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 NEAR STREET: LOGAN AVE
 NEAR CROSS-STREET: DANFORTH AVE",43.678501854,-79.349359105,ALEXANDER THE GREAT,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
190 Queens Quay E Toronto ON M5A 3Y4,"ANHOLT, JILL",2011,"Public Art.  
 Media: MIXED METAL, WATER
 LOCATION: OUTDOORS
 PARK NAME: SHERBOURNE COMMON
 NEAR STREET: QUEENS QUAY E
 NEAR CROSS-STREET: LOWER SHERBOURNE ST",43.6455950659,-79.3650101846,LIGHT SHOWERS,"Public Art, MIXED METAL, WATER",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
339 Queens Quay W Toronto ON M5V 1A2,"VANDERGAAST, YOLANDA",2000,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: HTO PARK
 NEAR STREET: QUEENS QUAY W
 NEAR CROSS-STREET: REES ST",43.637690309,-79.388613019,FALLEN FIRE FIGHTERS MEMORIAL,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
59 Lee Ave Toronto ON M4E 2P1,"KLEIN, MAURICE/ WYLE, FLORENCE/ CAGE, F.M.",1920,"Public Art.  
 Media: MASONRY, BRONZE
 LOCATION: OUTDOORS
 PARK NAME: KEW GARDENS
 NEAR STREET: LEE AVE
 NEAR CROSS-STREET: QUEEN ST E",43.66931838,-79.29727379,DR. WILLIAM D. YOUNG MEMORIAL,"Public Art, MASONRY, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
71 Front St W Toronto ON M5J 1E6,"PERILLI, FRANCESCO/ RICO, NINO",1985,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 NEAR STREET: FRONT ST W
 NEAR CROSS-STREET: BAY ST",43.6454689872,-79.3805510244,MONUMENT TO MULTICULTURALISM,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
15 Saskatchewan Rd Toronto ON M6K 3C3,"COX, ELFORD BRADLEY",1979,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: PRINCES BLVD
 NEAR CROSS-STREET: PRINCE EDWARD ISLAND CRES",43.6325966418,-79.423741097,GARDEN OF THE GODS,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Yukon Pl Toronto ON M6K 3C3,UNKNOWN,1878,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: YUKON PL
 NEAR CROSS-STREET: ALBERTA CRCL",43.630681292,-79.423983211,FORT ROUILLE MONUMENT,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
50 Prince Edward Island Cres Toronto ON M6K 3C3,"KECK, CHARLES",1930,"Public Art.  
 Media: MASONRY, BRONZE
 LOCATION: OUTDOORS
 NEAR STREET: LAKE SHORE BLVD W
 NEAR CROSS-STREET: PLANNING BOUNDARY",43.630884361,-79.422815587,SHRINE PEACE MEMORIAL,"Public Art, MASONRY, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
195 Princes' Blvd Toronto ON  ,"SATOK, RON",1959,"Public Art.  
 Media: GLASS
 LOCATION: OUTDOORS
 NEAR STREET: PRINCES' BLVD
 NEAR CROSS-STREET: PRINCE EDWARD ISLAND CRES",43.632091902,-79.420898312,PAINTER'S EYE,"Public Art, GLASS",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
111 Princes' Blvd Toronto ON M6K 3C3,"CLAPSADDLE, JERRY",1997,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: PRINCES' BLVD
 NEAR CROSS-STREET: NEWFOUNDLAND RD",43.633495063,-79.41288659,SHORELINE,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Strachan Ave Toronto ON  ,"CHAPMAN, ALFRED",1927,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: STRACHAN AVE
 NEAR CROSS-STREET: PRINCES BLVD",43.6358023976,-79.4088377119,PRINCE'S GATES,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
789 Lake Shore Blvd W Toronto ON  ,"QIMIRPIK, KELLYPALIK",2002,"Public Art.  
 Media: ROSE GRANITE
 LOCATION: OUTDOORS
 PARK NAME: THE TORONTO INUKSHUK PARK
 NEAR STREET: LAKE SHORE BLVD W
 NEAR CROSS-STREET: NEWFOUNDLAND RD",43.632390858,-79.409778547,INUKSHUK SCULPTURE,"Public Art, ROSE GRANITE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
250 Fort York Blvd Toronto ON M5V 3K9,UNKNOWN,1970,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: MILITARY CEMETERY
 NEAR STREET: GARDINER EXPRESSWAY W
 NEAR CROSS-STREET: GARRISON RD",43.638378645,-79.4049805304,GARRISON CEMETARY MEMORIAL WALL,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1209 Sheppard Ave E Toronto ON M2K 3E1,"WRIGLEY, BILL",2006,"Public Art.  
 Media: PAINT ON CONCRETE
 LOCATION: OUTDOORS
 NEAR STREET: SHEPPARD AVE E
 NEAR CROSS-STREET: OLD LESLIE ST",43.7710452401,-79.3669633646,KIDS PLAY,"Public Art, PAINT ON CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1240 Sheppard Ave E Toronto ON  ,"LEXIER, MICAH",2002,"Public Art.  
 Media: CUSTOM PRINTED PORCELAIN TILE
 LOCATION: OUTDOORS
 NEAR STREET: SHEPPARD AVE E
 NEAR CROSS-STREET: LESLIE ST",43.7718336731,-79.3652296821,AMPERSAND,"Public Art, CUSTOM PRINTED PORCELAIN TILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
2500 Don Mills Rd Toronto ON M2J 3B3,"CRUISE, STEPHEN",2002,"Public Art.  
 Media: MIXED MEDIA
 LOCATION: INDOORS
 NEAR STREET: SHEPPARD AVE E
 NEAR CROSS-STREET: DON MILLS RD",43.7754344309,-79.3480433995,BEFORE/AFTER,"Public Art, MIXED MEDIA",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
