address,artist,build_year,details,latitude,longitude,name,poi_type,poi_type_simple,source
550 Sheppard Ave E Toronto ON M2K 3C8,"ESPINAL, PANYA CLARK",2002,"Public Art.  
 Media: CERAMIC TILE, TERRAZZO
 LOCATION: INDOORS
 NEAR STREET: BAYVIEW AVE
 NEAR CROSS-STREET: MALLINGHAM CRT",43.7671088041,-79.3875316251,FROM HERE RIGHT NOW,"Public Art, CERAMIC TILE, TERRAZZO",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Queen St W Toronto ON M5H 2N1,"JOHNSON, G.R./ PARKER, JOHN",1969,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: CITY HALL - NATHAN PHILLIPS SQUARE
 NEAR STREET: QUEEN ST W
 NEAR CROSS-STREET: CHESTNUT ST",43.65282214,-79.383625059,SUN DIAL,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
84 Elizabeth St Toronto ON  ,"OSCAR, NEMON",1977,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: CITY HALL - NATHAN PHILLIPS SQUARE
 NEAR STREET: ARMOURY ST
 NEAR CROSS-STREET: CHESTNUT ST",43.65416556,-79.3849418654,SIR WINSTON CHURCHILL,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
84 Elizabeth St Toronto ON  ,UNKNOWN,c. 300-400 AD. 1967 (INSTALLED),"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: CITY HALL - NATHAN PHILLIPS SQUARE
 NEAR STREET: ARMOURY ST
 NEAR CROSS-STREET: CHESTNUT ST",43.65416556,-79.3849418654,ROMAN COLUMN,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
50 Queen St W Toronto ON  ,"FERGUSON, W.M. & POMPHREY, T.C.",1924,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: QUEEN ST W
 NEAR CROSS-STREET: BAY ST",43.6522093592,-79.3814431753,"CENOTAPH, TORONTO","Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
82 Bond St Toronto ON M5B 1X2,"HAHN, JEFFREY G.W.",1938,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: BOND ST
 NEAR CROSS-STREET: VICTORIA ST LN",43.655680554,-79.378454394,MACKENZIE PANELS,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Dundas St E Toronto ON  ,"MCELCHERAN, WILLIAM",1984,"Public Art.  
 Media: GLAZED TERRA COTTA
 LOCATION: INDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: DUNDAS ST E",43.6562020334,-79.3804417766,CROSS SECTIONS,"Public Art, GLAZED TERRA COTTA",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
10 Queen St W Toronto ON M5H 3X4,"BOYLE, JOHN",1978,"Public Art.  
 Media: ENAMEL
 LOCATION: INDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: QUEEN ST W",43.6525119747,-79.3799133322,OUR NELL,"Public Art, ENAMEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
2 Carlton St Toronto ON M5B 1J3,"PACHTER, CHARLES",1984,"Public Art.  
 Media: ENAMEL ON STEEL
 LOCATION: INDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: COLLEGE ST",43.661564608,-79.382899255,HOCKEY KNIGHTS IN CANADA,"Public Art, ENAMEL ON STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
5075 Yonge St Toronto ON M2N 6C6,"GRAVEN, NICHOLAS",1987,"Public Art.  
 Media: ENAMEL ON STEEL
 LOCATION: OUTDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: HILLCREST AVE",43.7677816904,-79.4121530995,HERITAGE MURALS,"Public Art, ENAMEL ON STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Pemberton Ave Toronto ON M2M 4L9,"SADOWSKA, KRYSTYNA",1965,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: FINCH AVE E
 NEAR CROSS-STREET: YONGE ST",43.7808529667,-79.4144717235,RHYTHM OF EXOTIC PLANTS,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1978 Lake Shore Blvd W Toronto ON  ,"REVINGTON, DERECK",2015,"Public Art.  
 Media: LIGHTING
 LOCATION: OUTDOORS
 NEAR STREET: LAKESHORE BLVD W
 NEAR CROSS-STREET: WINDERMERE AVE",43.6353180227,-79.4686108153,BLUE GOLD VARIATIONS,"Public Art, LIGHTING",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1020 Bay St Toronto ON  ,"ELOUL, KOSSO",1980,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: ST JOSEPH ST
 NEAR CROSS-STREET: BAY ST",43.665861892,-79.388206256,ZEN WEST,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
223 Gladys Allison Pl Toronto ON M2N 4T5,"FRIZ, ANNA & PUBLIC STUDIO",2016,"Public Art.  
 Media: STEEL, WOOD, AUDIO COMPONENTS
 LOCATION: OUTDOORS
 PARK NAME: LEE LIFESON ART PARK
 NEAR STREET: GLADYS ALLISON PL
 NEAR CROSS-STREET: PRINCESS AVE",43.7684877913,-79.4098202338,ONE HUNDRED AND TWENTY MIRRORS,"Public Art, STEEL, WOOD, AUDIO COMPONENTS",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
223 Gladys Allison Pl Toronto ON M2N 4T5,PAUL RAFF STUDIO,Jul-17,"Public Art.  
 Media: CONCRETE, TILE
 LOCATION: OUTDOORS
 PARK NAME: LEE LIFESON ART PARK
 NEAR STREET: GLADYS ALLISON PL
 NEAR CROSS-STREET: PRINCESS AVE",43.7684877913,-79.4098202338,LIMELIGHT,"Public Art, CONCRETE, TILE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
636 Fleet St Toronto ON  ,"BATES, STEVE & MOFFAT, DOUGLAS",2014,"Public Art.  
 Media: SOUND INSTALLATION
 LOCATION: OUTDOORS
 PARK NAME: JUNE CALLWOOD PARK
 NEAR STREET: FORT YORK BLVD
 NEAR CROSS-STREET: FLEET ST",43.636762067,-79.404017615,OKTA,"Public Art, SOUND INSTALLATION",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
115 Black Creek Dr Toronto ON M6M 0A9,"MAYNARD, DON",2016,"Public Art.  
 Media: CAST ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: EGLINTON AVE W
 NEAR CROSS-STREET: BLACK CREEK DR",43.687836988,-79.482014325,WAVE,"Public Art, CAST ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
149 Sackville St Toronto ON  ,"LEE, JYHLING",SUMMER 2017,"Public Art.  
 Media: CAST ALUMINUM
 LOCATION: OUTDOORS
 NEAR STREET: SHUTER ST
 NEAR CROSS-STREET: SACKVILLE ST",43.65777874,-79.361917419,MODEL HOME,"Public Art, CAST ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
475 Front St E Toronto ON M5A 1G9,"MARMAN, JENNIFER/ BORINS, DANIEL/ KHAMSI, JAMES",2015,"Public Art.  
 Media: PAINTED STEEL, PAINTED CONCRETE
 LOCATION: OUTDOORS
 NEAR STREET: CHERRY ST
 NEAR CROSS-STREET: FRONT ST E",43.653004091,-79.355554256,WATER GUARDIANS,"Public Art, PAINTED STEEL, PAINTED CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
862 Yonge St Toronto ON M4W 2J1,"MORIN, JEAN-PIERRE",2005,"Public Art.  
 Media: ALUMINUM, COR-TEN STEEL
 LOCATION: OUTDOORS
 PARK NAME: TOWN HALL SQUARE PARK
 NEAR STREET: SCOLLARD ST
 NEAR CROSS-STREET: YONGE ST",43.6723198828,-79.3878996834,REACHING FOR THE CLOUD,"Public Art, ALUMINUM, COR-TEN STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
78 Queen's Park Toronto ON M5S 2C5,"HALENBY, ERIC WILSON/ MATHERS, ALVAN",1923,"Public Art.  
 Media: MASONRY, BRONZE
 LOCATION: OUTDOORS
 PARK NAME: QUEEN'S PARK
 NEAR STREET: HOSKIN AVE
 NEAR CROSS-STREET: QUEENS PARK",43.6663863555,-79.3934543568,HIGHLANDERS REGEMENTAL MEMORIAL (48TH),"Public Art, MASONRY, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
10 Temperance St Toronto ON M5H 1Y4,"PRIEST, MARGARET",1993,"Public Art.  
 Media: MIXED MEDIA
 LOCATION: OUTDOORS
 PARK NAME: CLOUD GARDENS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: TEMPERANCE ST",43.651065541,-79.379330882,MONUMENT TO CONSTRUCTION WORKERS,"Public Art, MIXED MEDIA",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1598 King St W Toronto ON  ,"JANOWSKI, TADEUSZ",1980,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: BEATY BOULEVARD PARK
 NEAR STREET: KING ST W
 NEAR CROSS-STREET: QUEEN ST W",43.638595489,-79.445670636,KATYN MEMORIAL,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
35 Wellington St E Toronto ON  ,"BESANT, DEREK",1980,"Public Art.  
 Media: EPOXY PAINT, ALUMINUM
 LOCATION: OUTDOORS
 PARK NAME: BERCZY PARK
 NEAR STREET: WELLINGTON ST E
 NEAR CROSS-STREET: FRONT ST E",43.6481226977,-79.3752091828,FLAT IRON BUILDING,"Public Art, EPOXY PAINT, ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
35 Wellington St E Toronto ON  ,"LUTKENHAUS, ALMUTH",1982,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: BERCZY PARK
 NEAR STREET: WELLINGTON ST E
 NEAR CROSS-STREET: SCOTT ST",43.6481226977,-79.3752091828,WILLIAM BERCZY FAMILY SCULPTURE,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
82 Perth Ave Toronto ON  ,"DICKSON, JOHN",2009,"Public Art.  
 Media: GALVANIZED STEEL
 LOCATION: OUTDOORS
 PARK NAME: CP-PS LEAD
 NEAR STREET: PERTH AVE
 NEAR CROSS-STREET: BLOOR ST W",43.65649284,-79.448717887,FRONTIER,"Public Art, GALVANIZED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
4 Blue Jays Way Toronto ON  ,"GARNET, ELDON & LEBOUTHILLIER, FRANCIS",1989,"Public Art.  
 Media: BRONZE, WOOD AND HEMP ROPE
 LOCATION: OUTDOORS
 PARK NAME: NORTHERN LINEAR PARK
 NEAR STREET: BLUE JAYS WAY
 NEAR CROSS-STREET: NAVY WHARF CRT",43.641933045,-79.391471908,CHINESE RAILWAY WORKERS MEMORIAL,"Public Art, BRONZE, WOOD AND HEMP ROPE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
294 Bremner Blvd Toronto ON M5V 3L9,"SCHELLE, SUSAN",1991,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: BOBBIE ROSENFELD PARK
 NEAR STREET: BREMNER BLVD
 NEAR CROSS-STREET: REES ST",43.641640428,-79.387196859,SALMON RUN,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
739 Bloor St W Toronto ON M6G 1L6,"DOYLE, MAURA",2004,"Public Art.  
 Media: GRANITE
 LOCATION: OUTDOORS
 PARK NAME: CHRISTIE PITS
 NEAR STREET: BLOOR ST W
 NEAR CROSS-STREET: MONTROSE AVE",43.663229945,-79.418993105,ERRATIC BOULDERS,"Public Art, GRANITE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
781 Lake Shore Blvd W Toronto ON  ,"MCEWAN, JOHN",1998,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: CORONATION PARK
 NEAR STREET: LAKE SHORE BLVD W
 NEAR CROSS-STREET: STRACHAN AVE",43.6332591391,-79.4090419012,VICTORY PEACE,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
250 Beecroft Rd Toronto ON M2N 6W3,"CHEN, MILLE & QUIGLEY, WARREN",2000,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: DEMPSEY PARK
 NEAR STREET: BEECROFT RD
 NEAR CROSS-STREET: ELLERSLIE AVE",43.770169527,-79.417274571,TIMETRACK,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
4401 Jane St Toronto ON M3N 2K3,"COVIN, LINDA",2001,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: EDGELEY PARK
 NEAR STREET: JANE ST
 NEAR CROSS-STREET: MILO PARK GATE",43.765455832,-79.518778983,"CIRCLE OF WORDS, GARDEN OF THOUGHT","Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
149 King St E Toronto ON  ,"EDELSTEI, MORRY & MCLAREN, BRIAN",1986,"Public Art.  
 Media: MIXED MEDIA, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: MARKET LANE PARK
 NEAR STREET: KING ST E
 NEAR CROSS-STREET: JARVIS ST",43.650072138,-79.372553694,RETURN OF THE MAGGRI-STECCHI,"Public Art, MIXED MEDIA, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
40 Park Home Ave Toronto ON  ,"CRUISE, STEPHEN",1998,"Public Art.  
 Media: MIXED METAL
 LOCATION: OUTDOORS
 PARK NAME: GIBSON PARK
 NEAR STREET: PARK HOME AVE
 NEAR CROSS-STREET: BEECROFT RD",43.768699015,-79.4161322767,ONE HUNDRED LINKS EQUALS ONE CHAIN,"Public Art, MIXED METAL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1 Palace Pier Crt Toronto ON M8V 3W9,"ENVIRONMENTAL ARTWORKS STUDIO- GOLDEN, BRAD & EICHENBERG, LYNNE",1997,"Public Art.  
 Media: MIXED METAL, MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: LAKE SHORE BLVD W
 NEAR CROSS-STREET: LAKE SHORE BLVD WEST",43.631481578,-79.472637971,HUMBER RIVER PEDESTRIAN/CYCLE BRIDGE,"Public Art, MIXED METAL, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1092 Wilson Ave Toronto ON  ,"THIB, JEANNIE/ TORRANCE, SCOTT",2006,"Public Art.  
 Media: MIXED MEDIA
 LOCATION: OUTDOORS
 PARK NAME: DOWNSVIEW MEMORIAL PARKETTE
 NEAR STREET: WILSON AVE
 NEAR CROSS-STREET: KEELE ST",43.727246153,-79.481166396,MOTH GARDEN,"Public Art, MIXED MEDIA",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
3154 Lake Shore Blvd W Toronto ON M8V 1L5,"CHEN, MILLE & QUIGLEY, WARREN",2001,"Public Art.  
 Media: PAINTED STEEL
 LOCATION: OUTDOORS
 NEAR STREET: LAKE SHORE BLVD W
 NEAR CROSS-STREET: KIPLING AVE",43.598442351,-79.51669662,THIRD GARDEN (THE),"Public Art, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
112 Corporate Dr Toronto ON  ,"GIROUX, CHRISTIAN & YOUNG, DANIEL",2009,"Public Art.  
 Media: PAINTED STEEL
 LOCATION: OUTDOORS
 PARK NAME: LEE CENTRE PARK
 NEAR STREET: CORPORATE DR
 NEAR CROSS-STREET: LEE CENTRE DR",43.781014454,-79.246622431,RETICULATED GAMBOL,"Public Art, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
276 St Clair Ave E Toronto ON  ,"FRANCES, LORING",1984,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: LORING/WYLE PARKETTE
 NEAR STREET: MOUNT PLEASANT RD
 NEAR CROSS-STREET: ST CLAIR AVE E",43.690661218,-79.383160787,WYLE,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
945 King St W Toronto ON  ,"MCCLEOD, JAMES",2006,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 PARK NAME: MASSEY HARRIS PARK
 NEAR STREET: KING ST W
 NEAR CROSS-STREET: CRAWFORD ST",43.641485647,-79.41341621,EVOLUTION UNROLLING,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
55 John St Toronto ON M5V 3C6,"LEXIER, MICAH",1992,"Public Art.  
 Media: STAINLESS STEEL
 LOCATION: OUTDOORS
 NEAR STREET: JOHN ST
 NEAR CROSS-STREET: KING ST W",43.646162378,-79.3889347303,SELECTIONS FROM THE SYNOPSIS OF CATEGORIES,"Public Art, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
60 Simcoe St Toronto ON M5J 2H5,"MILLER, BERNIE",1992,"Public Art.  
 Media: MIXED METAL, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: DAVID PECAUT SQUARE
 NEAR STREET: KING ST W
 NEAR CROSS-STREET: SIMCOE ST",43.6467072718,-79.3864537867,"POET (THE), THE FEVER HOSPITAL","Public Art, MIXED METAL, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
100 Queen St W Toronto ON M5H 2N1,"MOORE, HENRY",1967,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: CITY HALL - NATHAN PHILLIPS SQUARE
 NEAR STREET: QUEEN ST W
 NEAR CROSS-STREET: ALBERT ST",43.65282214,-79.383625059,THREE WAY DISC NO. 2 (THE ARCHER),"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
10 Niagara St Toronto ON  ,"ALLWARD, WALTER SEYMOUR",1906,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: VICTORIA MEMORIAL PARK
 NEAR STREET: NIAGARA ST.
 NEAR CROSS-STREET: PORTLAND ST.",43.642485642,-79.400207089,WAR OF 1812 MEMORIAL,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
579 Queen St E Toronto ON  ,"GARNET, ELDON",1996,"Public Art.  
 Media: STAINLESS STEEL, CONCRETE
 LOCATION: OUTDOORS
 NEAR STREET: QUEEN ST E
 NEAR CROSS-STREET: BAYVIEW AVE",43.6576566041,-79.3543365539,TIME AND A CLOCK,"Public Art, STAINLESS STEEL, CONCRETE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
230 Front St W Toronto ON  ,"KAPOOR, ANISH",1995,"Public Art.  
 Media: ALUMINUM
 LOCATION: OUTDOORS
 PARK NAME: SIMCOE PARK
 NEAR STREET: FRONT ST W
 NEAR CROSS-STREET: SIMCOE ST",43.644783595,-79.3861989108,MOUNTAIN,"Public Art, ALUMINUM",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
230 Front St W Toronto ON  ,"GOLDEN, BRAD & EICHENBERG, LYNNE",1993,"Public Art.  
 Media: MIXED METAL
 LOCATION: OUTDOORS
 PARK NAME: SIMCOE PARK
 NEAR STREET: FRONT ST W
 NEAR CROSS-STREET: SIMCOE ST",43.644783595,-79.3861989108,CAMPSITE FOUNDING,"Public Art, MIXED METAL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
725 Spadina Ave Toronto ON M5S 2J4,"SCHELLE, SUSAN/ GOMES, MARK",1997,"Public Art.  
 Media: LIMESTONE, STAINLESS STEEL
 LOCATION: OUTDOORS
 PARK NAME: MATT COHEN PARK
 NEAR STREET: BLOOR ST W
 NEAR CROSS-STREET: SPADINA AVE",43.666651557,-79.403233768,BLOOR PARKETTE,"Public Art, LIMESTONE, STAINLESS STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
374 Spadina Ave Toronto ON M5T 2G4,"HLYNSKY, DAVID & YANOVER, SHIRLEY",1997,"Public Art.  
 Media: ALUMINUM, RESIN, STEEL
 LOCATION: OUTDOORS
 NEAR STREET: SPADINA AVE
 NEAR CROSS-STREET: BALDWIN ST",43.6549930091,-79.3992484783,"TO MARKET, TO MARKET/ HOME AGAIN, HOME AGAIN","Public Art, ALUMINUM, RESIN, STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
270 Spadina Ave Toronto ON M5T 2E5,"CHEN, MILLE & QUIGLEY, WARREN",1997,"Public Art.  
 Media: COLOURED FIBREGLASS
 LOCATION: OUTDOORS
 NEAR STREET: SPADINA AVE
 NEAR CROSS-STREET: DUNDAS ST W",43.6523401152,-79.3981964163,GATEWAY,"Public Art, COLOURED FIBREGLASS",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
239 Spadina Rd Toronto ON  ,"GOLDEN, BRAD & RICHARDS, NORMAN",1992,"Public Art.  
 Media: STAINLESS STEEL, PAINTED STEEL
 LOCATION: OUTDOORS
 NEAR STREET: MACPHERSON AVE
 NEAR CROSS-STREET: SPADINA RD",43.675750692,-79.407268719,SPADINA LINE,"Public Art, STAINLESS STEEL, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
451 Broadview Ave Toronto ON M4K 2N3,"ROSENTHAL, JOSEPH",1984,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 PARK NAME: RIVERDALE PARK EAST
 NEAR STREET: BROADVIEW AVE
 NEAR CROSS-STREET: LANGLEY AVE",43.668010425,-79.3530925847,DR. SUN YAT-SEN,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
1258 Queen St W Toronto ON  ,"JACOB, LUIS",2012,"Public Art.  
 Media: PAINTED ALUMINUM, GLASS MOSAIC
 LOCATION: OUTDOORS
 NEAR STREET: QUEEN ST W
 NEAR CROSS-STREET: DUFFERIN ST",43.6423614563,-79.4291013208,SPIRITS OF THE GROTTO,"Public Art, PAINTED ALUMINUM, GLASS MOSAIC",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
220 Cowan Ave Toronto ON M6K 2N6,"DYKHUIS, PETER",1989,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: MASARYK PARK
 NEAR STREET: COWAN AVE
 NEAR CROSS-STREET: QUEEN ST W",43.6407247064,-79.4332336687,INDEX/IDEAL,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
56 Dan Leckie Way Toronto ON M5V 0K1,"COUPLAND, DOUGLAS",2010,"Public Art.  
 Media: POLYURETHANE FOAM, PAINT
 LOCATION: OUTDOORS
 PARK NAME: CANOE LANDING
 NEAR STREET: DAN LECKIE WAY
 NEAR CROSS-STREET: FORT YORK BLVD",43.638434414,-79.397932613,CANOE LANDING,"Public Art, POLYURETHANE FOAM, PAINT",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
